crim,indus,tax,medv
0.00632,2.31,296,24
0.02731,7.07,242,21.6
0.02729,7.07,242,34.7
0.03237,2.18,222,33.4
0.06905,2.18,222,36.2
0.02985,2.18,222,28.7
0.08829,7.87,311,22.9
0.14455,7.87,311,27.1
0.21124,7.87,311,16.5
0.17004,7.87,311,18.9
0.22489,7.87,311,15
0.11747,7.87,311,18.9
0.09378,7.87,311,21.7
0.62976,8.14,307,20.4
0.63796,8.14,307,18.2
0.62739,8.14,307,19.9
1.05393,8.14,307,23.1
0.7842,8.14,307,17.5
0.80271,8.14,307,20.2
0.7258,8.14,307,18.2
1.25179,8.14,307,13.6
0.85204,8.14,307,19.6
1.23247,8.14,307,15.2
0.98843,8.14,307,14.5
0.75026,8.14,307,15.6
0.84054,8.14,307,13.9
0.67191,8.14,307,16.6
0.95577,8.14,307,14.8
0.77299,8.14,307,18.4
1.00245,8.14,307,21
1.13081,8.14,307,12.7
1.35472,8.14,307,14.5
1.38799,8.14,307,13.2
1.15172,8.14,307,13.1
1.61282,8.14,307,13.5
0.06417,5.96,279,18.9
0.09744,5.96,279,20
0.08014,5.96,279,21
0.17505,5.96,279,24.7
0.02763,2.95,252,30.8
0.03359,2.95,252,34.9
0.12744,6.91,233,26.6
0.1415,6.91,233,25.3
0.15936,6.91,233,24.7
0.12269,6.91,233,21.2
0.17142,6.91,233,19.3
0.18836,6.91,233,20
0.22927,6.91,233,16.6
0.25387,6.91,233,14.4
0.21977,6.91,233,19.4
0.08873,5.64,243,19.7
0.04337,5.64,243,20.5
0.0536,5.64,243,25
0.04981,5.64,243,23.4
0.0136,4,469,18.9
0.01311,1.22,226,35.4
0.02055,0.74,313,24.7
0.01432,1.32,256,31.6
0.15445,5.13,284,23.3
0.10328,5.13,284,19.6
0.14932,5.13,284,18.7
0.17171,5.13,284,16
0.11027,5.13,284,22.2
0.1265,5.13,284,25
0.01951,1.38,216,33
0.03584,3.37,337,23.5
0.04379,3.37,337,19.4
0.05789,6.07,345,22
0.13554,6.07,345,17.4
0.12816,6.07,345,20.9
0.08826,10.81,305,24.2
0.15876,10.81,305,21.7
0.09164,10.81,305,22.8
0.19539,10.81,305,23.4
0.07896,12.83,398,24.1
0.09512,12.83,398,21.4
0.10153,12.83,398,20
0.08707,12.83,398,20.8
0.05646,12.83,398,21.2
0.08387,12.83,398,20.3
0.04113,4.86,281,28
0.04462,4.86,281,23.9
0.03659,4.86,281,24.8
0.03551,4.86,281,22.9
0.05059,4.49,247,23.9
0.05735,4.49,247,26.6
0.05188,4.49,247,22.5
0.07151,4.49,247,22.2
0.0566,3.41,270,23.6
0.05302,3.41,270,28.7
0.04684,3.41,270,22.6
0.03932,3.41,270,22
0.04203,15.04,270,22.9
0.02875,15.04,270,25
0.04294,15.04,270,20.6
0.12204,2.89,276,28.4
0.11504,2.89,276,21.4
0.12083,2.89,276,38.7
0.08187,2.89,276,43.8
0.0686,2.89,276,33.2
0.14866,8.56,384,27.5
0.11432,8.56,384,26.5
0.22876,8.56,384,18.6
0.21161,8.56,384,19.3
0.1396,8.56,384,20.1
0.13262,8.56,384,19.5
0.1712,8.56,384,19.5
0.13117,8.56,384,20.4
0.12802,8.56,384,19.8
0.26363,8.56,384,19.4
0.10793,8.56,384,21.7
0.10084,10.01,432,22.8
0.12329,10.01,432,18.8
0.22212,10.01,432,18.7
0.14231,10.01,432,18.5
0.17134,10.01,432,18.3
0.13158,10.01,432,21.2
0.15098,10.01,432,19.2
0.13058,10.01,432,20.4
0.14476,10.01,432,19.3
0.06899,25.65,188,22
0.07165,25.65,188,20.3
0.09299,25.65,188,20.5
0.15038,25.65,188,17.3
0.09849,25.65,188,18.8
0.16902,25.65,188,21.4
0.38735,25.65,188,15.7
0.25915,21.89,437,16.2
0.32543,21.89,437,18
0.88125,21.89,437,14.3
0.34006,21.89,437,19.2
1.19294,21.89,437,19.6
0.59005,21.89,437,23
0.32982,21.89,437,18.4
0.97617,21.89,437,15.6
0.55778,21.89,437,18.1
0.32264,21.89,437,17.4
0.35233,21.89,437,17.1
0.2498,21.89,437,13.3
0.54452,21.89,437,17.8
0.2909,21.89,437,14
1.62864,21.89,437,14.4
3.32105,19.58,403,13.4
4.0974,19.58,403,15.6
2.77974,19.58,403,11.8
2.37934,19.58,403,13.8
2.15505,19.58,403,15.6
2.36862,19.58,403,14.6
2.33099,19.58,403,17.8
2.73397,19.58,403,15.4
1.6566,19.58,403,21.5
1.49632,19.58,403,19.6
1.12658,19.58,403,15.3
2.14918,19.58,403,19.4
1.41385,19.58,403,17
3.53501,19.58,403,15.6
2.44668,19.58,403,13.1
1.22358,19.58,403,41.3
1.34284,19.58,403,24.3
1.42502,19.58,403,23.3
1.27346,19.58,403,27
1.46336,19.58,403,50
1.83377,19.58,403,50
1.51902,19.58,403,50
2.24236,19.58,403,22.7
2.924,19.58,403,25
2.01019,19.58,403,50
1.80028,19.58,403,23.8
2.3004,19.58,403,23.8
2.44953,19.58,403,22.3
1.20742,19.58,403,17.4
2.3139,19.58,403,19.1
0.13914,4.05,296,23.1
0.09178,4.05,296,23.6
0.08447,4.05,296,22.6
0.06664,4.05,296,29.4
0.07022,4.05,296,23.2
0.05425,4.05,296,24.6
0.06642,4.05,296,29.9
0.0578,2.46,193,37.2
0.06588,2.46,193,39.8
0.06888,2.46,193,36.2
0.09103,2.46,193,37.9
0.10008,2.46,193,32.5
0.08308,2.46,193,26.4
0.06047,2.46,193,29.6
0.05602,2.46,193,50
0.07875,3.44,398,32
0.12579,3.44,398,29.8
0.0837,3.44,398,34.9
0.09068,3.44,398,37
0.06911,3.44,398,30.5
0.08664,3.44,398,36.4
0.02187,2.93,265,31.1
0.01439,2.93,265,29.1
0.01381,0.46,255,50
0.04011,1.52,329,33.3
0.04666,1.52,329,30.3
0.03768,1.52,329,34.6
0.0315,1.47,402,34.9
0.01778,1.47,402,32.9
0.03445,2.03,348,24.1
0.02177,2.03,348,42.3
0.0351,2.68,224,48.5
0.02009,2.68,224,50
0.13642,10.59,277,22.6
0.22969,10.59,277,24.4
0.25199,10.59,277,22.5
0.13587,10.59,277,24.4
0.43571,10.59,277,20
0.17446,10.59,277,21.7
0.37578,10.59,277,19.3
0.21719,10.59,277,22.4
0.14052,10.59,277,28.1
0.28955,10.59,277,23.7
0.19802,10.59,277,25
0.0456,13.89,276,23.3
0.07013,13.89,276,28.7
0.11069,13.89,276,21.5
0.11425,13.89,276,23
0.35809,6.2,307,26.7
0.40771,6.2,307,21.7
0.62356,6.2,307,27.5
0.6147,6.2,307,30.1
0.31533,6.2,307,44.8
0.52693,6.2,307,50
0.38214,6.2,307,37.6
0.41238,6.2,307,31.6
0.29819,6.2,307,46.7
0.44178,6.2,307,31.5
0.537,6.2,307,24.3
0.46296,6.2,307,31.7
0.57529,6.2,307,41.7
0.33147,6.2,307,48.3
0.44791,6.2,307,29
0.33045,6.2,307,24
0.52058,6.2,307,25.1
0.51183,6.2,307,31.5
0.08244,4.93,300,23.7
0.09252,4.93,300,23.3
0.11329,4.93,300,22
0.10612,4.93,300,20.1
0.1029,4.93,300,22.2
0.12757,4.93,300,23.7
0.20608,5.86,330,17.6
0.19133,5.86,330,18.5
0.33983,5.86,330,24.3
0.19657,5.86,330,20.5
0.16439,5.86,330,24.5
0.19073,5.86,330,26.2
0.1403,5.86,330,24.4
0.21409,5.86,330,24.8
0.08221,5.86,330,29.6
0.36894,5.86,330,42.8
0.04819,3.64,315,21.9
0.03548,3.64,315,20.9
0.01538,3.75,244,44
0.61154,3.97,264,50
0.66351,3.97,264,36
0.65665,3.97,264,30.1
0.54011,3.97,264,33.8
0.53412,3.97,264,43.1
0.52014,3.97,264,48.8
0.82526,3.97,264,31
0.55007,3.97,264,36.5
0.76162,3.97,264,22.8
0.7857,3.97,264,30.7
0.57834,3.97,264,50
0.5405,3.97,264,43.5
0.09065,6.96,223,20.7
0.29916,6.96,223,21.1
0.16211,6.96,223,25.2
0.1146,6.96,223,24.4
0.22188,6.96,223,35.2
0.05644,6.41,254,32.4
0.09604,6.41,254,32
0.10469,6.41,254,33.2
0.06127,6.41,254,33.1
0.07978,6.41,254,29.1
0.21038,3.33,216,35.1
0.03578,3.33,216,45.4
0.03705,3.33,216,35.4
0.06129,3.33,216,46
0.01501,1.21,198,50
0.00906,2.97,285,32.2
0.01096,2.25,300,22
0.01965,1.76,241,20.1
0.03871,5.32,293,23.2
0.0459,5.32,293,22.3
0.04297,5.32,293,24.8
0.03502,4.95,245,28.5
0.07886,4.95,245,37.3
0.03615,4.95,245,27.9
0.08265,13.92,289,23.9
0.08199,13.92,289,21.7
0.12932,13.92,289,28.6
0.05372,13.92,289,27.1
0.14103,13.92,289,20.3
0.06466,2.24,358,22.5
0.05561,2.24,358,29
0.04417,2.24,358,24.8
0.03537,6.09,329,22
0.09266,6.09,329,26.4
0.1,6.09,329,33.1
0.05515,2.18,222,36.1
0.05479,2.18,222,28.4
0.07503,2.18,222,33.4
0.04932,2.18,222,28.2
0.49298,9.9,304,22.8
0.3494,9.9,304,20.3
2.63548,9.9,304,16.1
0.79041,9.9,304,22.1
0.26169,9.9,304,19.4
0.26938,9.9,304,21.6
0.3692,9.9,304,23.8
0.25356,9.9,304,16.2
0.31827,9.9,304,17.8
0.24522,9.9,304,19.8
0.40202,9.9,304,23.1
0.47547,9.9,304,21
0.1676,7.38,287,23.8
0.18159,7.38,287,23.1
0.35114,7.38,287,20.4
0.28392,7.38,287,18.5
0.34109,7.38,287,25
0.19186,7.38,287,24.6
0.30347,7.38,287,23
0.24103,7.38,287,22.2
0.06617,3.24,430,19.3
0.06724,3.24,430,22.6
0.04544,3.24,430,19.8
0.05023,6.06,304,17.1
0.03466,6.06,304,19.4
0.05083,5.19,224,22.2
0.03738,5.19,224,20.7
0.03961,5.19,224,21.1
0.03427,5.19,224,19.5
0.03041,5.19,224,18.5
0.03306,5.19,224,20.6
0.05497,5.19,224,19
0.06151,5.19,224,18.7
0.01301,1.52,284,32.7
0.02498,1.89,422,16.5
0.02543,3.78,370,23.9
0.03049,3.78,370,31.2
0.03113,4.39,352,17.5
0.06162,4.39,352,17.2
0.0187,4.15,351,23.1
0.01501,2.01,280,24.5
0.02899,1.25,335,26.6
0.06211,1.25,335,22.9
0.0795,1.69,411,24.1
0.07244,1.69,411,18.6
0.01709,2.02,187,30.1
0.04301,1.91,334,18.2
0.10659,1.91,334,20.6
8.98296,18.1,666,17.8
3.8497,18.1,666,21.7
5.20177,18.1,666,22.7
4.26131,18.1,666,22.6
4.54192,18.1,666,25
3.83684,18.1,666,19.9
3.67822,18.1,666,20.8
4.22239,18.1,666,16.8
3.47428,18.1,666,21.9
4.55587,18.1,666,27.5
3.69695,18.1,666,21.9
13.5222,18.1,666,23.1
4.89822,18.1,666,50
5.66998,18.1,666,50
6.53876,18.1,666,50
9.2323,18.1,666,50
8.26725,18.1,666,50
11.1081,18.1,666,13.8
18.4982,18.1,666,13.8
19.6091,18.1,666,15
15.288,18.1,666,13.9
9.82349,18.1,666,13.3
23.6482,18.1,666,13.1
17.8667,18.1,666,10.2
88.9762,18.1,666,10.4
15.8744,18.1,666,10.9
9.18702,18.1,666,11.3
7.99248,18.1,666,12.3
20.0849,18.1,666,8.8
16.8118,18.1,666,7.2
24.3938,18.1,666,10.5
22.5971,18.1,666,7.4
14.3337,18.1,666,10.2
8.15174,18.1,666,11.5
6.96215,18.1,666,15.1
5.29305,18.1,666,23.2
11.5779,18.1,666,9.7
8.64476,18.1,666,13.8
13.3598,18.1,666,12.7
8.71675,18.1,666,13.1
5.87205,18.1,666,12.5
7.67202,18.1,666,8.5
38.3518,18.1,666,5
9.91655,18.1,666,6.3
25.0461,18.1,666,5.6
14.2362,18.1,666,7.2
9.59571,18.1,666,12.1
24.8017,18.1,666,8.3
41.5292,18.1,666,8.5
67.9208,18.1,666,5
20.7162,18.1,666,11.9
11.9511,18.1,666,27.9
7.40389,18.1,666,17.2
14.4383,18.1,666,27.5
51.1358,18.1,666,15
14.0507,18.1,666,17.2
18.811,18.1,666,17.9
28.6558,18.1,666,16.3
45.7461,18.1,666,7
18.0846,18.1,666,7.2
10.8342,18.1,666,7.5
25.9406,18.1,666,10.4
73.5341,18.1,666,8.8
11.8123,18.1,666,8.4
11.0874,18.1,666,16.7
7.02259,18.1,666,14.2
12.0482,18.1,666,20.8
7.05042,18.1,666,13.4
8.79212,18.1,666,11.7
15.8603,18.1,666,8.3
12.2472,18.1,666,10.2
37.6619,18.1,666,10.9
7.36711,18.1,666,11
9.33889,18.1,666,9.5
8.49213,18.1,666,14.5
10.0623,18.1,666,14.1
6.44405,18.1,666,16.1
5.58107,18.1,666,14.3
13.9134,18.1,666,11.7
11.1604,18.1,666,13.4
14.4208,18.1,666,9.6
15.1772,18.1,666,8.7
13.6781,18.1,666,8.4
9.39063,18.1,666,12.8
22.0511,18.1,666,10.5
9.72418,18.1,666,17.1
5.66637,18.1,666,18.4
9.96654,18.1,666,15.4
12.8023,18.1,666,10.8
10.6718,18.1,666,11.8
6.28807,18.1,666,14.9
9.92485,18.1,666,12.6
9.32909,18.1,666,14.1
7.52601,18.1,666,13
6.71772,18.1,666,13.4
5.44114,18.1,666,15.2
5.09017,18.1,666,16.1
8.24809,18.1,666,17.8
9.51363,18.1,666,14.9
4.75237,18.1,666,14.1
4.66883,18.1,666,12.7
8.20058,18.1,666,13.5
7.75223,18.1,666,14.9
6.80117,18.1,666,20
4.81213,18.1,666,16.4
3.69311,18.1,666,17.7
6.65492,18.1,666,19.5
5.82115,18.1,666,20.2
7.83932,18.1,666,21.4
3.1636,18.1,666,19.9
3.77498,18.1,666,19
4.42228,18.1,666,19.1
15.5757,18.1,666,19.1
13.0751,18.1,666,20.1
4.34879,18.1,666,19.9
4.03841,18.1,666,19.6
3.56868,18.1,666,23.2
4.64689,18.1,666,29.8
8.05579,18.1,666,13.8
6.39312,18.1,666,13.3
4.87141,18.1,666,16.7
15.0234,18.1,666,12
10.233,18.1,666,14.6
14.3337,18.1,666,21.4
5.82401,18.1,666,23
5.70818,18.1,666,23.7
5.73116,18.1,666,25
2.81838,18.1,666,21.8
2.37857,18.1,666,20.6
3.67367,18.1,666,21.2
5.69175,18.1,666,19.1
4.83567,18.1,666,20.6
0.15086,27.74,711,15.2
0.18337,27.74,711,7
0.20746,27.74,711,8.1
0.10574,27.74,711,13.6
0.11132,27.74,711,20.1
0.17331,9.69,391,21.8
0.27957,9.69,391,24.5
0.17899,9.69,391,23.1
0.2896,9.69,391,19.7
0.26838,9.69,391,18.3
0.23912,9.69,391,21.2
0.17783,9.69,391,17.5
0.22438,9.69,391,16.8
0.06263,11.93,273,22.4
0.04527,11.93,273,20.6
0.06076,11.93,273,23.9
0.10959,11.93,273,22
0.04741,11.93,273,11.9
